instructions,cycles,cpu-migrations,branches,branch-misses,context-switches,cache-references,cache-misses,L1-dcache-stores,L1-dcache-loads,L1-dcache-load-misses,LLC-stores,LLC-store-misses,LLC-loads,LLC-load-misses,minor-faults,page-faults,Thread,seconds,matrix_workload,Class,energy_joules
4170230568861,3070928817584,2678,260334862916,394208181,111365,19369094130,10170267749,425304452904,1087305928882,126658468371,50421288499,885005380,15403660460,9255769953,206199,206199,4,298.22,4251528,SG,
4168508901515,3085188182141,2534,260665258773,394694927,111648,19476161451,10322155963,425498723288,1089146065128,126707962957,50344571014,853121791,15464141299,9347802902,157117,157117,4,299.72,4251528,SG,
4174356518178,3058748725232,3064,262325607420,395950387,112282,19405382027,10254269788,424368211982,1086930270979,126627998240,50536227298,960036974,15289934800,9188884539,268129,268129,4,297.33,4251528,SG,
4166404675354,3072068204376,2909,260967902286,394610561,111838,19463271898,10328305248,425441121976,1088627453151,126648642026,50390055640,881773729,15430449645,9370150228,186269,186269,4,298.31,4251528,SG,
4171172921058,3028251741788,2661,260969441301,394575985,109704,19120814340,10049207636,424815341130,1089186677779,126719673903,50426126938,867173669,15070300394,9062063712,303285,303285,4,293.58,4251528,SG,
4171347674623,3055883663938,1949,261534931222,393893551,109391,19139460203,10013188425,424828971066,1086442924923,126440142320,50319122044,856836534,15132106396,9072544856,174243,174243,4,296.03,4251528,SG,
4169883860757,3082384781058,2366,260715242230,394189225,111149,19358834912,10284793247,424781472604,1087032345982,126495303564,50426531983,863013015,15361929013,9328882356,170465,170465,4,298.78,4251528,SG,
4171840660862,3034524081573,2549,260830298365,394025866,109586,19150047696,9995024074,425094055224,1088690195825,126654295334,50339947008,837289958,15185221860,9059552067,169138,169138,4,294.38,4251528,SG,
4166108291868,3083454484894,3006,261097367049,396052868,113324,19510647570,10394846871,425821463311,1090454609998,126794719355,50446163752,914920975,15484070658,9456671999,211801,211801,4,300.04,4251528,SG,
4171156039713,3093398660617,2266,261805005327,395013904,111727,19464360851,10305016348,424611681373,1087477242830,126467880127,50337940382,846409842,15439060677,9362974238,92222,92222,4,300.42,4251528,SG,
4168343347958,3042779811611,3016,260015361890,394428562,110926,19211830776,10085245092,425544906326,1088573553890,126705512214,50391872225,869084488,15238991094,9157768966,247084,247084,4,295.37,4251528,SG,
4169630563993,3034486094199,2877,259550295399,394773734,110644,19162255087,10011809994,425343967331,1088389069475,126676107319,50487369610,884163348,15194677573,9101782832,258351,258351,4,294.32,4251528,SG,
4169490649998,3014297813717,2337,260053887518,393323974,108297,18914485172,9763852960,424927966151,1088042115214,126702434088,50421065839,856269088,15047562209,8900879084,203007,203007,4,291.96,4251528,SG,
4172169722198,3056141839388,2817,260179258512,393977383,110900,19169545061,10031874021,424469845659,1086968287632,126579700902,50423575198,860678154,15268604133,9095553068,228608,228608,4,296.56,4251528,SG,
4171556216792,3089953638795,2638,260134600770,394213801,111805,19331757066,10279517300,425181605978,1088268074944,126634385013,50402303130,903228204,15377142409,9322491938,191175,191175,4,299.59,4251528,SG,
4171011876035,3076938362591,2760,261468499655,395089436,112473,19336650877,10265525510,425030216274,1089294616188,126728819197,50462284294,895655831,15372529234,9349230131,230581,230581,4,299.34,4251528,SG,
4169141781386,3056337667162,2416,259998113170,394223608,110359,19212534264,10085786723,425517208358,1087211505673,126673534277,50393762282,870989593,15266537678,9133973532,195114,195114,4,296.15,4251528,SG,
4179029342463,3613207142936,2865,265528909656,408757512,136934,24209416752,16061017500,425762189254,1092807664164,126814647312,51057752941,1761997131,19550601768,14333391500,363275,363275,6,241.17,4251528,SG,
4179268879472,3613527936791,2770,265454063546,408988601,137607,24252984316,16151330400,425325280380,1093390277127,126855407803,51034089659,1743909311,19533939792,14283533702,253310,253310,6,241.53,4251528,SG,
4187427500840,3689915244276,2615,265396136465,409271565,139398,24634257953,16507951311,425345048012,1092055614168,126760766349,51022110166,1764517705,19764355791,14539514364,213142,213142,6,246.34,4251528,SG,
4185094247697,3676172803011,2774,266085803525,409504688,138523,24463335904,16283776221,425189755208,1089605739043,126426231532,50946513323,1755093433,19847044679,14593092304,208203,208203,6,245.14,4251528,SG,
4178890973741,3615584080239,2434,265276516953,408092664,135479,24095364433,15932530376,425633341500,1093348115302,126846349831,50990908494,1713984845,19453647321,14216841512,205878,205878,6,240,4251528,SG,
4181620152634,3637844886074,2849,265257967683,408786471,137326,24297775741,16149964445,424686835326,1090671367325,126565899779,51029005856,1750719150,19627370664,14375484085,264963,264963,6,242.02,4251528,SG,
4177464497613,3544294328200,2198,264697038771,406914860,131827,23734806699,15582838416,424964174997,1092446404981,126643683853,50869166987,1577632007,19069307180,13881645160,197847,197847,6,234.37,4251528,SG,
4194812263809,3712702136461,2532,265381877463,409103955,139402,24593812988,16555563711,424019980511,1088131914052,126367414357,50939036073,1756117686,19886142683,14610166074,147951,147951,6,247.18,4251528,SG,
4182626746596,3633096924214,3021,265051649962,409315996,138555,24327306731,16171955668,426009057199,1093807634430,127069432386,51062514513,1753209028,19575181058,14328482916,237354,237354,6,242.67,4251528,SG,
4172699145169,3549368067909,1920,264916246669,406714190,130943,23547015553,15423366995,425799208741,1094917607642,126719844541,50882785099,1573480951,18954088233,13868249218,223922,223922,6,234.09,4251528,SG,
4183455824812,3637602320909,2742,265276491682,409022321,136993,24346240215,16210975192,425475088124,1091040886933,126841123180,51029740393,1744442866,19550428883,14309356580,215425,215425,6,242.33,4251528,SG,
4186268011548,3552716109387,1864,264389500724,406564482,131021,23673585840,15603942793,425063272467,1089588826094,126730010364,50856799171,1584590007,19013238127,13784855429,150401,150401,6,233.75,4251528,SG,
4187149607356,3633851588312,2966,265139985557,408946613,136966,24265650525,16192812598,424694893767,1090779284590,126760416927,51040232490,1739661786,19508197692,14239521384,264961,264961,6,242.32,4251528,SG,
4185206978189,3610732230455,2551,265379002515,408840626,136330,24117783600,16015147616,425098167507,1090786948825,126737031299,50995240860,1746890523,19425460838,14205590390,252082,252082,6,240.58,4251528,SG,
4180051796658,3583494968189,2848,264376094361,408041911,135291,24041105794,15934972341,425105566204,1092145713619,126680198165,51005986203,1706843087,19290981348,14056264943,288526,288526,6,239.01,4251528,SG,
4187821081533,3682761766922,2685,266013816365,409320166,139001,24520992362,16373766663,425486883613,1090447150100,126650547354,50960090336,1781861942,19858748968,14580921517,265381,265381,6,245.39,4251528,SG,
4186118922119,3635454035504,2722,264962013573,408278981,137297,24284088364,16180608142,424954664135,1091306192149,126653471422,51035843876,1727471561,19585756178,14276698989,252410,252410,6,241.92,4251528,SG,
4192586517205,3590194421558,2067,265705420722,408263368,134430,23888432383,15818149955,425404340131,1088171003177,126572339697,50865359908,1697827925,19267088429,14074634387,221639,221639,6,238,4251528,SG,
4193848393596,3640949730737,3290,266123593153,409811104,138387,24312153338,16235944857,424982397540,1087406732166,126631147567,50992614313,1851120039,19634941297,14370848475,309795,309795,6,243.07,4251528,SG,
4184998360648,3586436599457,2033,263986198762,406674875,131549,23888203151,15845690887,424992654464,1087693437959,126626819993,50901074866,1654388403,19219734316,14069656369,203497,203497,6,236.3,4251528,SG,
4183773765310,3672438284732,3028,265096419579,409352963,139941,24603654739,16452932487,424951455792,1091557378616,126578124200,51009716909,1739666521,19739623071,14495045261,186930,186930,6,245.82,4251528,SG,
4188630857647,3641459138373,2602,265575168884,408559464,136904,24310189710,16169030668,425042326352,1089721460988,126494158490,50948484722,1744371866,19603421739,14355070570,195905,195905,6,242.22,4251528,SG,
4189854136066,3692057621930,2286,265165737175,408586998,137467,24468637889,16363660602,425003156727,1088650130655,126422215587,50923958557,1731051502,19698694288,14489864277,134881,134881,6,244.99,4251528,SG,
4191964745910,3664177518773,2435,265792222451,408577054,137736,24367563487,16263104752,424768549332,1089201706293,126559357444,50882444533,1737205196,19844293395,14545325634,110634,110634,6,244.41,4251528,SG,
4187281821153,3647425609408,3168,265565326651,409731620,139972,24559468597,16391249235,424860926120,1091046798655,126578902933,51020211380,1781249807,19744618640,14421325625,281305,281305,6,245.3,4251528,SG,
4190290116426,3670125486322,2995,266218834222,409639452,139374,24540246032,16443551368,424755171216,1090361616159,126636503193,51014029970,1813615026,19825265396,14499501828,253074,253074,6,245.2,4251528,SG,
4185048193012,3595313748669,2539,264851962699,407721913,134257,23967897225,15904082660,425664568069,1090009906756,126798089286,50928965336,1701654263,19368879101,14115783476,263678,263678,6,238.7,4251528,SG,
4179475292319,3639428065984,3223,264708572667,409211939,138772,24407938176,16315843788,425315133167,1093868871146,126801203425,51100139281,1774629839,19561221496,14371603040,411562,411562,6,243,4251528,SG,
4183952283271,3683993264985,1873,264736924410,407422274,135214,24488183589,16328058083,425510547557,1089174148651,126400384218,50768454141,1650107012,19809822155,14605524576,83727,83727,6,243.57,4251528,SG,
4191615277848,3659143852972,3178,265359050393,409588371,139528,24538240593,16420773831,424250018818,1087453997281,126470292997,50971917040,1732542955,19765803582,14510511120,190252,190252,6,245.12,4251528,SG,
4192803000070,4539085672101,2984,267376973205,422619474,171140,32754545010,24827445626,425513406795,1093215394809,127064678908,52000851891,3291469899,26942277705,21372044155,152379,152379,8,229.82,4251528,SG,
4199126654415,4560932025777,2667,268038824329,423023600,170851,32791107151,24709200664,424793340509,1092568097004,126623308681,51897158767,3267402562,26941562086,21246563311,172670,172670,8,230.45,4251528,SG,
4202595962048,4626059785864,2904,268676016074,423489229,174405,32884435619,24940797740,424507196230,1090147342870,126369645702,51779011092,3295628187,27208457530,21591171376,134321,134321,8,234.76,4251528,SG,
4199625792601,4569089550523,3042,268114008128,422619768,171572,32889866158,24852372471,424976554439,1093135112969,126974619329,52030167025,3290518602,27105352914,21401333161,312977,312977,8,231.32,4251528,SG,
